Team,Player,PlayerID,GP,G,A,PTS,SOG,HIT,BLK,PIM,TOI,ATOI,S%,EVG,PPG,SHG,GWG,EVA,PPA,SHA
STL,Calle Rosén,rosenca01,6,0,1,1,5,2,7,2,75.98,12.66,0.00%,0,0,0,0,1,0,0
BUF,Isak Rosen,rosenis01,7,0,0,0,8,0,2,0,60.1,8.59,0.00%,0,0,0,0,0,0,0
CBJ,Jack Roslovic,rosloja01,40,6,17,23,86,22,19,14,662.08,16.55,6.98%,5,0,1,2,14,3,0
NYR,Jack Roslovic,rosloja01,19,3,5,8,31,6,5,2,255.63,13.45,9.68%,3,0,0,1,4,1,0
MIN,Marco Rossi,rossima01,82,21,19,40,167,35,37,47,1371.87,16.73,12.57%,19,2,0,2,15,4,0
BUF,Lukáš Rousek,rouselu01,15,0,2,2,4,5,7,0,159.42,10.63,0.00%,0,0,0,0,2,0,0
MTL,Joshua Roy,royjo01,23,4,5,9,34,12,21,0,279.23,12.14,11.76%,4,0,0,0,5,0,0
LAK,Matt Roy,royma04,81,5,20,25,135,152,197,42,1692.48,20.89,3.70%,5,0,0,1,17,1,2
VEG,Nicolas Roy,royni01,70,13,28,41,112,77,35,29,1081.68,15.45,11.61%,11,1,1,2,22,6,0
PIT,Chad Ruhwedel,ruhwech01,46,1,3,4,30,71,36,4,574.32,12.49,3.33%,1,0,0,0,3,0,0
CAR,Chad Ruhwedel,ruhwech01,1,0,0,0,4,4,1,0,15.43,15.43,0.00%,0,0,0,0,0,0,0
NYR,Chad Ruhwedel,ruhwech01,5,0,0,0,1,15,7,0,70.67,14.13,0.00%,0,0,0,0,0,0,0
PIT,Bryan Rust,rustbr01,62,28,28,56,196,47,51,20,1213.85,19.58,14.29%,24,3,1,3,22,6,0
SJS,Jan Rutta,ruttaja02,69,5,14,19,69,69,110,38,1360.72,19.72,7.25%,5,0,0,1,12,0,2
CGY,Adam Ružička,ruzicad01,39,3,6,9,34,10,15,6,396.27,10.16,8.82%,3,0,0,1,2,4,0
ARI,Adam Ružička,ruzicad01,3,0,0,0,1,1,1,6,24.87,8.29,0.00%,0,0,0,0,0,0,0
EDM,Derek Ryan,ryande01,70,5,7,12,52,59,28,8,713.53,10.19,9.62%,3,0,2,0,6,0,1
STL,Brandon Saad,saadbr01,82,26,16,42,144,17,16,20,1271.25,15.5,18.06%,21,5,0,7,16,0,0
SJS,Scott Sabourin,sabousc01,3,0,0,0,3,10,1,9,27.83,9.28,0.00%,0,0,0,0,0,0,0
WPG,Dylan Samberg,sambedy01,78,1,17,18,77,65,111,43,1218.8,15.63,1.30%,1,0,0,0,15,1,1
FLA,Mackie Samoskevich,samosma01,7,0,0,0,11,5,3,0,84.27,12.04,0.00%,0,0,0,0,0,0,0
BUF,Mattias Samuelsson,samuema02,41,1,6,7,44,106,87,26,840.5,20.5,2.27%,1,0,0,1,6,0,0
OTT,Jake Sanderson,sandeja01,79,10,28,38,158,49,139,23,1834.25,23.22,6.33%,7,3,0,3,17,11,0
WSH,Rasmus Sandin,sandira01,68,3,20,23,79,75,106,24,1436.2,21.12,3.80%,3,0,0,1,15,5,0
ARI,Zach Sanford,sanfoza01,11,0,2,2,9,7,8,4,101.77,9.25,0.00%,0,0,0,0,2,0,0
CHI,Zach Sanford,sanfoza01,18,0,4,4,15,17,11,2,212.5,11.81,0.00%,0,0,0,0,3,1,0
PHI,Travis Sanheim,sanhetr01,81,10,34,44,146,94,149,48,1928.23,23.81,6.85%,9,0,1,3,26,5,3
MTL,David Savard,savarda01,60,6,18,24,54,69,163,24,1214.48,20.24,11.11%,6,0,0,0,18,0,0
BUF,Matthew Savoie,savoima01,1,0,0,0,0,0,0,0,3.92,3.92,--,0,0,0,0,0,0,0
STL,Marco Scandella,scandma01,65,2,6,8,42,70,49,15,810.8,12.47,4.76%,1,0,1,1,6,0,0
NYR,Brandon Scanlin,scanlbr01,1,0,0,0,0,1,0,0,10.77,10.77,--,0,0,0,0,0,0,0
WPG,Mark Scheifele,scheima01,74,25,47,72,154,63,40,57,1493.73,20.19,16.23%,19,6,0,4,35,12,0
STL,Brayden Schenn,schenbr01,82,20,26,46,170,169,51,56,1458.03,17.78,11.76%,15,4,1,3,18,8,0
NSH,Luke Schenn,schenlu01,63,1,6,7,81,202,76,43,956.62,15.18,1.23%,1,0,0,0,6,0,0
ARI,Nick Schmaltz,schmani01,79,22,39,61,158,16,41,10,1515.05,19.18,13.92%,11,10,1,3,28,11,0
WPG,Nate Schmidt,schmina01,63,2,12,14,75,66,76,16,1059.43,16.82,2.67%,1,1,0,1,9,3,0
NYR,Braden Schneider,schnebr01,82,5,14,19,95,167,133,16,1303.67,15.9,5.26%,4,0,1,1,14,0,0
SEA,Justin Schultz,schulju01,70,7,19,26,100,26,68,22,1153.12,16.47,7.00%,7,0,0,2,9,10,0
SEA,Jaden Schwartz,schwaja01,62,13,17,30,117,46,27,24,1014.47,16.36,11.11%,6,7,0,0,14,3,0
CGY,Cole Schwindt,schwico01,4,0,0,0,1,5,1,2,27.17,6.79,0.00%,0,0,0,0,0,0,0
PHI,Nick Seeler,seeleni01,71,1,12,13,100,132,205,78,1203.33,16.95,1.00%,1,0,0,0,8,0,4
DAL,Tyler Seguin,seguity01,68,25,27,52,154,61,22,26,1125.2,16.55,16.23%,22,3,0,3,20,5,2
DET,Moritz Seider,seidemo01,82,9,33,42,135,211,213,51,1833.48,22.36,6.67%,6,3,0,0,18,14,1
CHI,Brett Seney,seneybr01,4,0,0,0,1,9,6,6,41.38,10.35,0.00%,0,0,0,0,0,0,0
TBL,Mikhail Sergachev,sergami01,32,2,16,18,50,35,68,16,720.03,22.5,4.00%,2,0,0,0,9,7,0
CAR,Mikhail Sergachev,sergami01,1,0,1,1,0,0,0,0,23.32,23.32,--,0,0,0,0,1,0,0
ARI,Mikhail Sergachev,sergami01,1,0,0,0,3,1,1,0,23.55,23.55,0.00%,0,0,0,0,0,0,0
CBJ,Damon Severson,severda01,67,9,19,28,88,45,83,51,1416.88,21.15,10.23%,9,0,0,1,14,3,2
WSH,Michael Sgarbossa,sgarbmi01,25,4,3,7,27,16,3,2,274.27,10.97,14.81%,4,0,0,1,2,1,0
CGY,Yegor Sharangovich,sharaye01,82,31,28,59,179,13,44,8,1419.82,17.31,17.32%,22,6,3,4,13,11,4
BOS,Kevin Shattenkirk,shattke01,61,6,18,24,78,63,85,18,962.58,15.78,7.69%,4,2,0,0,9,9,0
MIN,Mason Shaw,shawma01,20,1,2,3,21,29,6,34,163.7,8.19,4.76%,1,0,0,0,2,0,0
TBL,Conor Sheary,shearco01,57,4,11,15,50,19,35,12,632.83,11.1,8.00%,4,0,0,0,11,0,0
PIT,Ryan Shea,sheary01,31,1,0,1,17,24,24,6,391.37,12.62,5.88%,1,0,0,0,0,0,0
NSH,Kiefer Sherwood,sherwki01,68,10,17,27,110,234,22,41,827.55,12.17,9.09%,10,0,0,2,17,0,0
SEA,Devin Shore,shorede01,21,1,3,4,15,27,9,4,168.15,8.01,6.67%,1,0,0,0,3,0,0
NJD,Jonas Siegenthaler,siegejo01,57,1,8,9,63,87,97,20,1102.3,19.34,1.59%,1,0,0,0,8,0,0
ANA,Jakob Silfverberg,silfvja01,81,7,12,19,102,16,36,24,1057.1,13.05,6.86%,5,1,1,1,8,3,1
CBJ,Cole Sillinger,sillico01,77,13,19,32,157,119,74,46,1241.2,16.12,8.28%,12,1,0,1,18,0,1
NSH,Colton Sissons,sissoco01,81,15,20,35,131,137,57,38,1342.47,16.57,11.45%,9,3,3,2,15,4,1
BUF,Jeff Skinner,skinnje01,74,24,22,46,211,26,13,34,1183.72,16,11.37%,16,8,0,3,18,4,0
CAR,Brady Skjei,skjeibr01,80,13,34,47,185,69,90,40,1702.25,21.28,7.03%,11,1,1,2,20,11,3
MTL,Juraj Slafkovsky,slafkju01,82,20,30,50,152,152,71,55,1470.73,17.94,13.16%,14,6,0,2,22,8,0
CHI,Landon Slaggert,slaggla01,16,1,3,4,14,16,6,4,180.23,11.26,7.14%,1,0,0,0,3,0,0
CAR,Jaccob Slavin,slavija01,81,6,31,37,151,55,120,8,1695.48,20.93,3.97%,4,0,2,1,30,0,1
OTT,Jiri Smejkal,smejkji01,20,1,1,2,10,32,13,4,189.57,9.48,10.00%,1,0,0,0,1,0,0
NJD,Brendan Smith,smithbr05,62,5,9,14,60,112,100,61,995.58,16.06,8.33%,5,0,0,0,9,0,0
TOR,Brendan Smith,smithbr05,1,0,1,1,0,5,1,0,18.75,18.75,--,0,0,0,0,1,0,0
NSH,Cole Smith,smithco02,80,9,14,23,112,235,32,63,1095.15,13.69,8.04%,8,0,1,4,12,0,2
DAL,Craig Smith,smithcr01,75,11,9,20,112,51,30,33,766.25,10.22,9.82%,11,0,0,2,9,0,0
SJS,Givani Smith,smithgi01,36,1,3,4,31,87,12,40,281.13,7.81,3.23%,1,0,0,0,3,0,0
PIT,Reilly Smith,smithre01,76,13,27,40,152,55,28,18,1226.17,16.13,8.55%,12,1,0,3,20,7,0
WSH,Joe Snively,snivejo01,3,0,0,0,0,1,0,0,25.03,8.34,--,0,0,0,0,0,0,0
ARI,Victor Söderström,sodervi01,3,0,0,0,1,3,6,0,45.57,15.19,0.00%,0,0,0,0,0,0,0
CGY,Ilya Solovyov,solovil01,10,0,3,3,10,14,17,4,158.95,15.9,0.00%,0,0,0,0,2,0,1
VAN,Carson Soucy,soucyca01,40,2,4,6,29,65,64,12,699.42,17.49,6.90%,1,1,0,0,3,1,0
FLA,Justin Sourdif,sourdju01,3,0,0,0,2,5,2,0,26.52,8.84,0.00%,0,0,0,0,0,0,0
LAK,Jordan Spence,spencjo01,71,2,22,24,80,67,55,12,1024.25,14.43,2.50%,1,1,0,0,17,5,0
DET,Daniel Sprong,spronda01,76,18,25,43,160,32,15,22,912.03,12,11.25%,15,3,0,1,16,9,0
MIN,Jared Spurgeon,spurgja01,16,0,5,5,21,14,29,2,373.23,23.33,0.00%,0,0,0,0,2,3,0
CAR,Jordan Staal,staaljo01,80,10,20,30,123,142,41,44,1230.3,15.38,8.13%,9,0,1,3,16,1,3
PHI,Marc Staal,staalma01,35,1,4,5,20,31,44,14,483.42,13.81,5.00%,1,0,0,0,4,0,0
TBL,Steven Stamkos,stamkst01,79,40,41,81,262,78,43,34,1440.05,18.23,15.27%,21,19,0,6,21,20,0
DAL,Logan Stankoven,stanklo01,24,6,8,14,51,20,11,4,352.13,14.67,11.76%,5,1,0,0,7,1,0
WPG,Logan Stanley,stanllo01,25,1,1,2,29,45,40,36,344.18,13.77,3.45%,1,0,0,0,1,0,0
NSH,Spencer Stastney,stastsp01,20,2,2,4,11,2,29,4,319.67,15.98,18.18%,2,0,0,1,2,0,0
ARI,Troy Stecher,stechtr01,47,1,4,5,45,52,67,24,866.42,18.43,2.22%,1,0,0,0,4,0,0
EDM,Troy Stecher,stechtr01,7,0,2,2,6,15,10,8,112.02,16,0.00%,0,0,0,0,2,0,0
DAL,Sam Steel,steelsa01,77,9,15,24,86,58,32,29,1019.62,13.24,10.47%,7,0,2,1,14,0,1
BOS,Oskar Steen,steenos01,34,1,0,1,24,79,19,4,308.38,9.07,4.17%,1,0,0,0,0,0,0
TOR,Alex Steeves,steeval02,1,0,0,0,1,6,0,0,10.23,10.23,0.00%,0,0,0,0,0,0,0
FLA,Kevin Stenlund,stenlke01,81,11,4,15,81,83,55,62,1020.93,12.6,13.58%,9,0,2,3,4,0,0
VEG,Chandler Stephenson,stephch02,75,16,35,51,97,43,40,25,1386.27,18.48,16.49%,10,4,2,4,25,9,1
MTL,Mitchell Stephens,stephmi01,23,2,1,3,16,8,7,4,208.18,9.05,12.50%,2,0,0,0,1,0,0
PIT,John St. Ivany,stivajo01,14,0,1,1,11,30,14,2,191.83,13.7,0.00%,0,0,0,0,1,0,0
VEG,Mark Stone,stonema01,56,16,37,53,117,34,40,22,1086.8,19.41,13.68%,10,4,2,5,25,10,2
WSH,Dylan Strome,stromdy01,82,27,40,67,169,12,61,22,1471.9,17.95,15.98%,21,6,0,5,24,16,0
ANA,Ryan Strome,stromry01,79,11,30,41,131,64,21,86,1248.12,15.8,8.40%,9,2,0,0,17,13,0
MTL,Jayden Struble,strubja01,56,3,7,10,47,121,53,57,902.27,16.11,6.38%,3,0,0,0,7,0,0
SEA,Marián Studenič,studema01,2,0,0,0,1,4,0,2,16.22,8.11,0.00%,0,0,0,0,0,0,0
VAN,Jack Studnicka,studnja01,5,1,0,1,4,8,1,0,50.95,10.19,25.00%,1,0,0,0,0,0,0
SJS,Jack Studnicka,studnja01,17,0,0,0,16,28,10,6,200.98,11.82,0.00%,0,0,0,0,0,0,0
OTT,Tim Stützle,stuetti02,75,18,52,70,192,100,41,28,1583.88,21.12,9.38%,17,1,0,2,33,19,0
SJS,Nico Sturm,sturmni01,63,5,8,13,69,75,39,12,923.53,14.66,7.25%,4,0,1,0,8,0,0
STL,Oskar Sundqvist,sundqos01,71,6,15,21,68,82,49,32,940.73,13.25,8.82%,2,3,1,0,11,2,2
VAN,Pius Suter,suterpi01,67,14,15,29,105,54,23,16,1038.17,15.5,13.33%,12,2,0,3,12,3,0
DAL,Ryan Suter,suterry01,82,2,15,17,102,86,111,28,1553.07,18.94,1.96%,2,0,0,1,14,0,1
MTL,Nick Suzuki,suzukni01,82,33,44,77,185,69,48,36,1743.65,21.26,17.84%,21,12,0,1,25,19,0
CAR,Andrei Svechnikov,svechan01,59,19,33,52,144,142,22,58,1001.8,16.98,13.19%,14,5,0,8,21,12,0
ARI,Maksymilian Szuber,szubema01,1,0,0,0,1,2,1,2,16.98,16.98,0.00%,0,0,0,0,0,0,0
SEA,Brandon Tanev,tanevbr01,66,7,9,16,73,148,62,51,962.75,14.59,9.59%,7,0,0,0,7,0,2
CGY,Chris Tanev,tanevch01,56,1,13,14,43,25,171,14,1111.02,19.84,2.33%,1,0,0,0,13,0,0
DAL,Chris Tanev,tanevch01,19,1,4,5,13,20,36,10,365.27,19.22,7.69%,1,0,0,0,4,0,0
OTT,Vladimir Tarasenko,tarasvl01,57,17,24,41,116,54,30,12,914.8,16.05,14.66%,15,2,0,4,18,6,0
FLA,Vladimir Tarasenko,tarasvl01,19,6,8,14,39,31,9,0,281.2,14.8,15.38%,5,1,0,1,8,0,0
COL,Tomáš Tatar,tatarto01,27,1,8,9,19,16,10,10,304.6,11.28,5.26%,1,0,0,0,7,1,0
SEA,Tomáš Tatar,tatarto01,43,8,7,15,53,27,14,10,567.07,13.19,15.09%,8,0,0,2,7,0,0
TOR,John Tavares,tavarjo01,80,29,36,65,279,134,37,30,1429.2,17.87,10.39%,20,9,0,6,25,11,0
CAR,Teuvo Teräväinen,teravte01,76,25,28,53,142,16,26,10,1246.53,16.4,17.61%,15,9,1,4,17,8,3
ANA,Troy Terry,terrytr01,76,20,34,54,172,17,30,24,1389.88,18.29,11.63%,16,4,0,5,25,9,0
CBJ,Alexandre Texier,texieal01,78,12,18,30,109,57,36,38,1184.1,15.18,11.01%,10,0,2,1,16,2,0
VEG,Shea Theodore,theodsh01,47,5,37,42,105,9,78,6,1038.15,22.09,4.76%,3,2,0,1,24,13,0
LAK,Akil Thomas,thomaak01,7,3,1,4,9,8,3,2,61.1,8.73,33.33%,3,0,0,1,1,0,0
STL,Robert Thomas,thomaro01,82,26,60,86,170,16,47,48,1719.25,20.97,15.29%,17,8,1,3,39,19,2
TBL,Jack Thompson,thompja01,1,0,0,0,1,2,0,0,11.65,11.65,0.00%,0,0,0,0,0,0,0
SJS,Jack Thompson,thompja01,2,0,0,0,3,2,3,0,35.37,17.68,0.00%,0,0,0,0,0,0,0
BUF,Tage Thompson,thompta01,71,29,27,56,246,79,29,43,1286.38,18.12,11.79%,18,9,2,3,20,7,0
SJS,Henry Thrun,thrunhe01,51,3,8,11,48,26,71,16,1019.98,20,6.25%,1,2,0,0,6,2,0
NJD,Chris Tierney,tiernch01,51,4,7,11,26,20,12,21,463.53,9.09,15.38%,4,0,0,0,7,0,0
TOR,Chris Tierney,tiernch01,1,0,1,1,0,0,0,0,5.77,5.77,--,0,0,0,0,1,0,0
TOR,Conor Timmins,timmico01,25,1,9,10,25,34,28,18,400.53,16.02,4.00%,1,0,0,0,7,2,0
CHI,Jarred Tinordi,tinorja01,52,0,9,9,32,171,94,64,813.58,15.65,0.00%,0,0,0,0,8,0,1
PHI,Owen Tippett,tippeow01,78,28,25,53,289,148,47,12,1293.72,16.59,9.69%,23,5,0,4,22,3,0
OTT,Brady Tkachuk,tkachbr01,81,37,37,74,357,294,34,134,1550.52,19.14,10.36%,25,12,0,2,27,10,0
FLA,Matthew Tkachuk,tkachma01,80,26,62,88,280,151,28,88,1491.2,18.64,9.29%,19,6,1,2,36,26,0
COL,Devon Toews,toewsde01,82,12,38,50,159,74,110,18,1921.18,23.43,7.55%,12,0,0,2,31,5,2
NJD,Tyler Toffoli,toffoty01,61,26,18,44,179,62,8,12,1069.63,17.53,14.53%,18,8,0,2,12,6,0
WPG,Tyler Toffoli,toffoty01,18,7,4,11,50,13,3,2,270.22,15.01,14.00%,4,3,0,2,3,1,0
SEA,Eeli Tolvanen,tolvaee01,81,16,25,41,153,210,75,24,1267.02,15.64,10.46%,15,1,0,3,16,9,0
NSH,Philip Tomasino,tomasph01,41,7,13,20,62,13,18,25,515.53,12.57,11.29%,7,0,0,2,9,4,0
WPG,Dominic Toninato,tonindo01,15,1,4,5,12,26,9,6,152.87,10.19,8.33%,1,0,0,1,4,0,0
STL,Alexey Toropchenko,toropal01,82,14,7,21,114,165,55,30,1026.8,12.52,12.28%,12,0,2,1,7,0,0
NSH,Yakov Trenin,treniya01,60,10,4,14,94,170,26,38,903.88,15.06,10.64%,10,0,0,2,3,0,1
COL,Yakov Trenin,treniya01,16,2,1,3,22,37,10,2,203.7,12.73,9.09%,2,0,0,1,1,0,0
NYR,Vincent Trocheck,trochvi01,82,25,52,77,215,175,86,55,1759.28,21.45,11.63%,13,11,1,5,39,13,0
NYR,Jacob Trouba,troubja01,69,3,19,22,129,191,183,73,1465.95,21.25,2.33%,3,0,0,0,17,1,1
BUF,Alex Tuch,tuchal01,75,22,37,59,192,72,82,54,1462.78,19.5,11.46%,19,2,1,7,28,9,0
STL,Tyler Tucker,tuckety01,26,1,1,2,17,64,27,42,323.72,12.45,5.88%,1,0,0,0,1,0,0
COL,Riley Tufte,tufteri01,5,1,1,2,7,8,2,2,55.6,11.12,14.29%,1,0,0,1,1,0,0
LAK,Alex Turcotte,turcoal02,20,1,3,4,14,7,10,6,185.6,9.28,7.14%,1,0,0,0,3,0,0
ANA,Urho Vaakanainen,vaakaur01,68,1,13,14,67,55,79,26,1188.37,17.48,1.49%,1,0,0,0,12,0,1
ARI,Juuso Välimäki,valimju01,67,2,15,17,69,66,89,12,1279.25,19.09,2.90%,2,0,0,0,11,4,0
FLA,Juuso Välimäki,valimju01,1,0,0,0,0,3,1,0,19.13,19.13,--,0,0,0,0,0,0,0
BOS,James van Riemsdyk,vanrija01,71,11,27,38,142,34,22,20,958.93,13.51,7.75%,5,6,0,3,21,6,0
WSH,Trevor van Riemsdyk,vanritr01,70,0,14,14,75,22,103,18,1306.52,18.66,0.00%,0,0,0,0,13,0,1
ANA,Frank Vatrano,vatrafr01,82,37,23,60,272,156,78,85,1504.27,18.34,13.60%,21,13,3,7,15,7,1
DET,Joe Veleno,velenjo01,80,12,16,28,86,108,35,25,1116.52,13.96,13.95%,9,3,0,1,13,2,1
FLA,Carter Verhaeghe,verhaca01,76,34,38,72,246,63,20,36,1365.15,17.96,13.82%,26,8,0,7,25,13,0
NYR,Jimmy Vesey,veseyji02,80,13,13,26,116,90,28,20,990.15,12.38,11.21%,13,0,0,4,13,0,0
WPG,Gabriel Vilardi,vilarga01,47,22,14,36,117,14,24,14,799.35,17.01,18.80%,13,9,0,5,9,5,0
CHI,Alex Vlasic,vlasial01,76,2,14,16,71,56,148,45,1632.38,21.48,2.82%,2,0,0,1,12,2,0
SJS,Marc-Édouard Vlasic,vlasima01,57,6,6,12,72,35,108,26,928,16.28,8.33%,6,0,0,1,6,0,0
CBJ,Dmitri Voronkov,vorondi01,75,18,16,34,142,83,48,52,1009.27,13.46,12.68%,12,6,0,2,14,2,0
STL,Jakub Vrána,vranaja01,21,2,4,6,42,9,4,8,254.65,12.13,4.76%,2,0,0,0,4,0,0
COL,Chris Wagner,wagnech01,13,1,1,2,16,30,5,9,96.9,7.45,6.25%,1,0,0,0,1,0,0
NYI,Oliver Wahlstrom,wahlsol01,32,2,4,6,41,35,22,8,354.25,11.07,4.88%,1,1,0,0,3,1,0
STL,Nathan Walker,walkena01,45,7,6,13,43,95,35,18,486.45,10.81,16.28%,7,0,0,0,6,0,0
MIN,Samuel Walker,walkesa01,4,0,0,0,3,2,1,0,37.45,9.36,0.00%,0,0,0,0,0,0,0
PHI,Sean Walker,walkese01,63,6,16,22,109,86,98,34,1234.68,19.6,5.50%,4,0,2,1,14,1,1
COL,Sean Walker,walkese01,18,4,3,7,41,32,29,16,323.08,17.95,9.76%,4,0,0,0,3,0,0
DET,Jake Walman,walmaja01,63,12,9,21,108,42,151,44,1245.47,19.77,11.11%,11,1,0,3,5,3,1
TBL,Austin Watson,watsoau01,32,2,2,4,17,85,17,67,235.72,7.37,11.76%,2,0,0,0,2,0,0
CAR,Austin Watson,watsoau01,1,0,0,0,0,0,3,26,4.02,4.02,--,0,0,0,0,0,0,0
CGY,MacKenzie Weegar,weegama01,82,20,32,52,208,194,200,51,1880.28,22.93,9.62%,17,3,0,2,18,12,2
SEA,Alexander Wennberg,wennbal01,60,9,16,25,80,37,65,14,1129.12,18.82,11.25%,6,2,1,4,14,2,0
NYR,Alexander Wennberg,wennbal01,19,1,4,5,10,9,10,0,292,15.37,10.00%,0,1,0,0,3,1,0
CBJ,Zach Werenski,werenza01,70,11,46,57,202,23,130,22,1711.6,24.45,5.45%,9,2,0,0,36,10,0
NYR,Blake Wheeler,wheelbl01,54,9,12,21,83,31,31,23,686.75,12.72,10.84%,8,1,0,1,12,0,0
CAR,Colin White,whiteco02,1,0,0,0,0,0,0,0,7.35,7.35,--,0,0,0,0,0,0,0
PIT,Colin White,whiteco02,10,0,0,0,8,11,5,2,102.08,10.21,0.00%,0,0,0,0,0,0,0
MTL,Colin White,whiteco02,17,0,0,0,8,11,7,2,157.2,9.25,0.00%,0,0,0,0,0,0,0
VEG,Zach Whitecloud,whiteza01,61,2,12,14,51,129,105,32,1072.58,17.58,3.92%,2,0,0,1,11,0,1
NJD,Maxwell Willman,willmma01,17,2,1,3,16,22,7,2,144.62,8.51,12.50%,2,0,0,0,1,0,0
TOR,Maxwell Willman,willmma01,1,1,0,1,1,1,0,0,5.37,5.37,100.00%,1,0,0,1,0,0,0
WSH,Tom Wilson,wilsoto01,74,18,17,35,169,228,74,133,1339.55,18.1,10.65%,11,5,2,3,12,5,0
SEA,Ryan Winterton,wintery01,9,0,0,0,10,10,4,0,84.05,9.34,0.00%,0,0,0,0,0,0,0
COL,Miles Wood,woodmi01,74,9,17,26,167,107,35,75,1012.63,13.68,5.39%,8,0,1,1,17,0,0
BOS,Parker Wotherspoon,wothepa01,41,0,8,8,32,84,67,31,726.6,17.72,0.00%,0,0,0,0,8,0,0
SEA,Shane Wright,wrighsh01,8,4,1,5,12,1,6,0,108.28,13.54,33.33%,4,0,0,3,0,1,0
MTL,Arber Xhekaj,xhekaar01,44,3,7,10,61,125,49,81,700.8,15.93,4.92%,3,0,0,0,7,0,0
SEA,Kailer Yamamoto,yamamka01,59,8,8,16,61,31,18,18,707.5,11.99,13.11%,6,2,0,2,4,4,0
MTL,Jesse Ylönen,yloneje01,59,4,4,8,50,41,32,12,604,10.24,8.00%,4,0,0,1,4,0,0
PHI,Cameron York,yorkca01,82,10,20,30,134,76,174,44,1854.78,22.62,7.46%,10,0,0,1,12,6,2
BOS,Pavel Zacha,zachapa01,78,21,38,59,148,106,34,18,1412.32,18.11,14.19%,15,6,0,6,29,9,0
SJS,Filip Zadina,zadinfi01,72,13,10,23,137,55,28,18,960.47,13.34,9.49%,10,3,0,3,9,1,0
CGY,Nikita Zadorov,zadorni01,21,1,5,6,29,53,19,23,386.47,18.4,3.45%,1,0,0,0,5,0,0
VAN,Nikita Zadorov,zadorni01,54,5,9,14,61,124,49,102,921.6,17.07,8.20%,5,0,0,1,8,0,1
CHI,Nikita Zaitsev,zaitsni01,38,2,5,7,31,69,70,14,605.37,15.93,6.45%,2,0,0,0,3,2,0
PHI,Yegor Zamula,zamulye01,66,5,16,21,61,37,79,32,1059.78,16.06,8.20%,3,2,0,1,8,7,1
CGY,Connor Zary,zaryco01,63,14,20,34,90,29,29,22,962.23,15.27,15.56%,13,1,0,3,17,3,0
ANA,Trevor Zegras,zegratr01,31,6,9,15,73,16,15,30,529.73,17.09,8.22%,5,1,0,1,9,0,0
ANA,Olen Zellweger,zellwol01,26,2,7,9,34,14,38,4,501.4,19.28,5.88%,2,0,0,0,5,2,0
SJS,Fabian Zetterlund,zettefa01,82,24,20,44,204,120,71,33,1546.2,18.86,11.76%,17,6,1,0,10,10,0
NYR,Mika Zibanejad,zibanmi01,81,26,46,72,221,49,55,30,1599.25,19.74,11.76%,12,12,2,3,23,19,4
PIT,Radim Zohorna,zohorra01,32,4,3,7,38,43,5,18,317.8,9.93,10.53%,4,0,0,1,3,0,0
CAR,Radim Zohorna,zohorra01,1,0,0,0,0,1,0,0,4.43,4.43,--,0,0,0,0,0,0,0
OTT,Artem Zub,zubar01,69,5,20,25,85,139,122,32,1450.25,21.02,5.88%,4,0,1,0,20,0,0
MIN,Mats Zuccarello,zuccama01,69,12,51,63,173,26,50,30,1303.58,18.89,6.94%,7,5,0,1,23,28,0
ARI,Jason Zucker,zuckeja01,51,9,16,25,104,74,14,58,716.05,14.04,8.65%,5,4,0,0,11,5,0
NSH,Jason Zucker,zuckeja01,18,5,2,7,46,24,4,23,237.8,13.21,10.87%,4,1,0,0,2,0,0
